"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","183888","","450768","","Larry Crawford","HOUSTON","70","G","22","3","0","0","1","15"
"","183901","","467631","","Kyle Rakers","KANSAS ST","55","C","8","2","0","0","0","8"
"","184097","","428771","","Anthonie Knapp","NOTRE DAME","54","T","489","8","1","7","5","252"
"","184101","","449211","","Styles Prescod","NOTRE DAME","71","T","45","5","0","2","1","25"
"","184380","","445013","","Kobe Branham","ARKANSAS","50","G","576","9","2","8","8","243"
"","184443","","458867","","Ethan Calloway","LSU","73","T","3","1","0","0","0","2"
"","184448","","432004","","Weston Davis","LSU","75","T","445","7","4","20","7","174"
"","184451","","432006","","Coen Echols","LSU","78","G","323","8","1","11","8","112"
"","184470","","444394","","Ory Williams","LSU","77","T","26","1","0","1","0","11"
"","184473","","443074","","Talan Chandler","NWESTERN","50","C","6","2","0","0","0","5"
"","184479","","447866","","Ryan Jostes","MISSOURI","71","G","5","2","0","0","0","5"
"","184485","","428454","","Jayven Richardson","MISSOURI","75","T","195","4","2","3","3","115"
"","184490","","436664","","Blake Franks","S CAROLINA","71","T","14","1","0","1","0","12"
"","184497","","436671","","Kam Pringle","SYRACUSE","77","T","50","4","0","1","2","19"
"","184501","","429666","","Josiah Thompson","S CAROLINA","74","T","496","9","2","18","6","196"
"","184502","","428955","","Brandon Baker","TEXAS","73","T","610","9","0","14","9","278"
"","184506","","458948","","Daniel Cruz","TEXAS","51","C","11","1","0","0","0","7"
"","184528","","429308","","Naquil Betrand","SYRACUSE","60","T","173","6","0","0","1","54"
"","184537","","429330","","Joseph Ionata","ALABAMA","69","C","13","1","0","0","0","6"
"","184547","","446925","","William Sanders","ALABAMA","70","G","126","7","0","3","1","44"
"","184553","","428401","","Daniel Calhoun","GEORGIA","70","G","43","3","0","1","0","17"
"","184556","","431685","","Nyier Daniels","GEORGIA","79","T","19","2","0","0","0","13"
"","184570","","447579","","Henry Peagler","GEORGIA","60","G","6","1","0","0","0","3"
"","184581","","431693","","Michael Uini","GEORGIA","52","T","141","4","0","5","3","78"
"","184585","","451337","","Josh Aisosa","W VIRGINIA","59","G","37","4","0","0","0","33"
"","184586","","431426","","Daniel Akinkunmi","OKLAHOMA","75","G","2","1","0","0","0","2"
"","184590","","428292","","Eugene Brooks","UCLA","55","G","463","7","2","9","4","190"
"","184638","","436606","","Aba Selm","KENTUCKY","53","G","2","1","0","0","0","2"
"","184658","","456065","","Kenny Jones","RUTGERS","77","T","11","1","0","0","0","6"
"","184729","","445019","","Nathan Roy","MINNESOTA","50","T","537","9","3","3","9","228"
"","184758","","429300","","Jimothy Lewis Jr.","MISS STATE","74","T","251","5","4","3","4","127"
"","184767","","429342","","Luke Work","MISS STATE","51","G","128","6","1","2","1","70"
"","184802","","431462","","Ashton Funk","TEXAS A&M","73","T","19","3","0","0","1","12"
"","184804","","431469","","Blake Ivy","TEXAS A&M","52","G","19","3","0","1","0","12"
"","184821","","449104","","Koltin Sieracki","BAYLOR","66","G","276","7","0","7","7","123"
"","184843","","449201","","Trent Ferguson","OREGON","56","T","36","5","0","0","1","33"
"","184856","","450640","","Shaq McRoy","ARKANSAS","71","T","58","8","1","0","1","30"
"","184879","","433994","","Max Anderson","TENNESSEE","71","G","66","2","0","1","1","33"
"","184890","","429234","","Jesse Perry","TENNESSEE","72","T","531","9","0","10","6","231"
"","184891","","429240","","William Satterwhite","TENNESSEE","50","C","116","6","0","2","3","61"
"","184900","","433984","","Holton Hendrix","TEXAS TECH","53","C","17","1","0","0","1","12"
"","184909","","433987","","Jacob Ponton","TEXAS TECH","70","T","598","9","3","8","3","269"
"","184936","","449429","","Aidan Lynch","VA TECH","76","T","511","8","2","22","3","243"
"","184939","","447533","","Tommy Ricard","VA TECH","58","G","156","4","3","9","1","55"
"","184995","","431439","","Clinton Azubuike","VANDERBILT","51","T","27","1","0","0","0","15"
"","186164","","431661","","Nathan Knapik","ILLINOIS","71","T","7","3","0","0","0","7"
"","188196","","467622","","Aiden Pastoriza","CINCINNATI","73","G","7","1","0","0","0","7"
"","188246","","428631","","Terez Davis","OLE MISS","55","T","7","1","0","0","0","7"
"","188250","","428751","","Michael Hershey","MARYLAND","61","C","494","8","0","3","6","171"
"","188263","","436660","","Anthony Robsock","MARYLAND","78","T","17","1","0","0","1","12"
"","188267","","436661","","Trevor Szymanski","MARYLAND","50","C","57","7","0","1","1","38"
"","188268","","456327","","Davon Watkins","MARYLAND","73","T","31","3","0","0","0","19"
"","188497","","429358","","Hank Purvis","PURDUE","58","G","328","7","0","3","5","135"
"","188522","","453285","","Josh Raymond","FLORIDA ST","72","G","11","1","0","0","0","10"
"","188669","","453310","","Evan Lawrence","INDIANA","71","T","52","5","0","0","0","43"
"","188670","","428537","","Austin Leibfried","INDIANA","70","C","52","5","0","0","1","43"
"","188684","","447568","","Gus Hawkins","KANSAS ST","70","T","123","6","0","2","0","59"
"","188701","","453573","","Brett Carroll","MINNESOTA","56","C","38","1","0","0","1","28"
"","188730","","451166","","Nuku Mafi","OKLA STATE","69","T","580","9","1","12","8","265"
"","188779","","428416","","Eddy Pierre-Louis","OKLAHOMA","55","G","185","6","1","3","2","81"
"","188857","","443110","","Ziron Brown","STANFORD","51","G","292","6","3","11","8","124"
"","188868","","428311","","Kahlil House","STANFORD","58","T","574","9","5","21","7","241"
"","188885","","433999","","Jeremias Heard","TENNESSEE","51","T","4","1","0","0","0","2"
"","188894","","429260","","Bennett Warren","TENNESSEE","68","T","64","3","0","1","2","30"
"","189281","","430848","","William Boone","N CAROLINA","71","T","98","3","0","1","2","44"
"","189374","","436442","","Gemyel Allen","DUKE","76","G","19","5","0","0","0","19"
"","189394","","449468","","Jack Small","DUKE","70","T","3","2","0","0","0","3"
"","189397","","436443","","Bradley Smith","DUKE","63","G","134","8","1","4","3","73"
"","189533","","449550","","Jiavani Cooley","PITTSBURGH","51","T","65","5","0","2","1","29"
"","189551","","428665","","King Large","SMU","68","T","3","1","0","0","0","3"
"","189559","","428708","","Graham Uter","SMU","50","C","4","2","0","0","0","4"
"","189652","","450563","","Trevor Pay","BYU","67","C","41","2","0","0","0","34"
"","189662","","449087","","Kellen Francis","ILLINOIS","65","G","7","3","0","0","0","7"
"","189689","","449514","","Bodey McCaslin","IOWA","74","T","14","3","0","0","2","10"
"","189881","","433948","","Guerby Lambert","NOTRE DAME","76","G","485","8","1","5","8","253"
"","189914","","449369","","Kyle Altuner","VA TECH","62","C","621","9","2","11","12","292"
"","189915","","453295","","Lucas Austin","VA TECH","57","G","9","2","0","0","0","7"
"","189943","","445021","","Justin Terry","OHIO STATE","65","T","31","3","0","0","0","23"
"","190182","","0","","Tanner Chlupsa","BOSTON COL","76","C","1","1","0","0","0","1"
"","190188","","449309","","Souleye Diawara","BOSTON COL","78","T","7","1","0","0","0","5"
"","190198","","449362","","Judah Pruitt","BOSTON COL","52","G","40","3","0","1","1","17"
"","190247","","453701","","Nate Kibble","TEXAS","70","G","35","2","0","1","0","25"
"","190270","","447874","","Mark Faircloth","FLORIDA","76","T","33","2","0","0","0","14"
"","190281","","449504","","Jason Zandamela","FLORIDA","50","C","31","1","0","1","1","12"
"","190318","","439240","","Andrew Dennis","MICH STATE","77","G","1","1","0","0","0","1"
"","190323","","439241","","Rakeem Johnson","MICH STATE","55","G","81","4","0","3","1","32"
"","190332","","439244","","Rustin Young","MICH STATE","73","T","258","7","3","10","1","102"
"","190336","","453995","","Colin Cook","UCF","66","G","3","1","0","0","0","3"
"","190338","","453998","","Thomas Gearity","UCF","71","G","3","1","0","0","0","3"
"","190358","","449585","","Hayden Treter","USC","68","G","30","2","0","0","0","14"
"","190563","","447559","","Jonathan Daniels","FLORIDA ST","74","T","75","3","0","0","3","56"
"","190588","","429803","","Fred Johnson","LOUISVILLE","52","G","2","1","0","0","0","2"
"","190590","","429817","","Ellis McAdoo","LOUISVILLE","65","C","2","1","0","0","0","2"
"","190597","","429907","","Jimmy Williams III","LOUISVILLE","55","G","17","1","0","0","0","8"
"","190749","","428826","","Jack Tanner","KANSAS","74","T","17","2","0","0","0","15"
"","190778","","431437","","Yahya Attia","COLORADO","59","G","144","7","0","1","2","76"
"","190781","","443972","","Cash Cleveland","TEXAS TECH","52","G","94","3","0","2","2","48"
"","190812","","429284","","Hingano Hautau","HOUSTON","67","G","7","1","0","0","0","7"
"","190815","","453637","","Ronnell McLain","HOUSTON","53","T","10","2","0","0","0","10"
"","190831","","456015","","Luke Hamilton","MICHIGAN","50","G","1","1","0","0","0","1"
"","190840","","456027","","Ben Roebuck","MICHIGAN","73","G","14","1","0","0","0","14"
"","190841","","433941","","Andrew Sprague","MICHIGAN","54","T","558","9","0","9","11","293"
"","190880","","463582","","Idrys Cotton","NWESTERN","77","G","15","2","0","0","1","12"
"","190888","","444021","","Ezomo Oratokhai","NWESTERN","62","G","530","8","1","4","7","275"
"","190889","","453367","","Dennis Rahouski","NWESTERN","71","T","10","2","0","0","1","8"
"","190919","","449439","","Max Parrott","PURDUE","70","G","1","1","0","0","0","1"
"","190938","","449260","","Jensen Somerville","UCLA","66","T","3","1","0","0","0","3"
"","191149","","439228","","Marcus Harrison","GEORGIA","76","T","6","1","0","0","0","3"
"","191151","","428449","","Jahzare Jackson","GEORGIA","64","T","62","3","0","2","1","31"
"","191162","","449851","","Kene Anene","KANSAS","55","G","4","1","0","0","0","4"
"","191168","","449903","","Greydon Grimes","KANSAS","78","T","4","1","0","0","0","4"
"","191171","","448786","","Carter Lavrusky","KANSAS","65","T","20","2","0","0","0","15"
"","191174","","449962","","Eli Richmond","KANSAS","67","G","4","1","0","0","0","4"
"","191184","","450565","","Kavion Broussard","ARKANSAS","75","T","101","3","1","2","0","49"
"","191190","","429747","","Joe Koury","OLE MISS","69","C","2","2","0","0","0","2"
"","191195","","450694","","John Wayne Oliver","OLE MISS","76","C","20","2","0","0","0","14"
"","191203","","445755","","TJ Lockhart","MISS STATE","58","G","9","1","0","0","0","9"
"","191204","","455951","","Alex Lopez","MISS STATE","59","T","9","1","0","0","0","9"
"","191248","","446900","","Robert Bourdon","TEXAS A&M","70","T","85","8","0","0","1","43"
"","191268","","430358","","DeAndre Carter","AUBURN","78","G","16","3","0","0","0","8"
"","191303","","449669","","Wade Helton","ARIZONA ST","64","C","286","6","1","7","5","118"
"","191312","","448793","","Garret Rutledge","IOWA STATE","65","G","31","3","0","0","0","22"
"","191320","","449185","","Devin Brooks","OREGON","53","C","8","2","0","0","0","6"
"","191321","","447868","","Kade Caton","OREGON","85","T","14","4","0","0","1","14"
"","191322","","449192","","Fox Crader","OREGON","59","T","24","4","0","0","0","14"
"","191358","","450081","","D'Anthis Upshaw Jr.","TEXAS TECH","65","T","76","5","0","0","1","45"
"","192860","","428241","","Carter Guillaume","LOUISVILLE","56","G","11","2","0","0","0","8"
"","193152","","428514","","Adedamola Ajani","INDIANA","72","G","52","5","0","0","0","43"
"","193185","","0","","Simon Lorentz","OHIO STATE","64","C","4","1","0","0","0","4"
"","193193","","448340","","Gabe VanSickle","OHIO STATE","58","G","34","4","0","0","0","26"
"","197639","","466468","","Travis Brown-Miller","SYRACUSE","79","G","1","1","0","0","0","0"
"","197640","","455829","","Vito Shevchenko","SYRACUSE","68","T","3","1","0","0","0","3"
"","198092","","453612","","Jackson Lloyd","ALABAMA","78","T","19","3","0","0","1","10"
"","198094","","453601","","Michael Carroll","ALABAMA","64","T","178","7","0","4","1","76"
"","198119","","468341","","Maki Stewart","ARIZONA ST","59","G","40","3","1","0","0","13"
"","198154","","453470","","Tai Buster","AUBURN","58","T","8","1","0","0","0","5"
"","198226","","450587","","Andrew Williams","BYU","68","T","4","1","0","0","0","4"
"","198438","","453290","","Chavez Thompson","FLORIDA ST","52","C","62","3","0","0","0","48"
"","198460","","448943","","Juan Gaston","GEORGIA","73","T","261","7","0","7","2","129"
"","198469","","449024","","Mason Short","GEORGIA","75","G","6","1","0","0","0","3"
"","198471","","449025","","Cortez Smith","GEORGIA","50","C","46","3","0","1","0","27"
"","198537","","467601","","Matt Marek","INDIANA","77","G","21","2","0","0","0","18"
"","198548","","453313","","Baylor Wilkin","INDIANA","61","G","23","3","0","0","1","20"
"","198549","","456079","","Lucas Allgeyer","IOWA","60","G","21","1","0","0","1","14"
"","198585","","436883","","DeAndre Harper","KANSAS","72","T","4","1","0","0","0","4"
"","198602","","463609","","Dylan Villarouel","KANSAS ST","71","G","10","2","0","0","1","3"
"","198706","","449677","","Tyler Folmar","LOUISVILLE","76","T","2","1","0","0","0","2"
"","198710","","0","","Gradey Anthony","LOUISVILLE","61","T","2","1","0","0","0","2"
"","198727","","449592","","Jaylen Gilchrist","MARYLAND","70","T","18","1","0","0","0","6"
"","198796","","456029","","Kaden Strayhorn","MICHIGAN","75","C","14","1","0","0","1","14"
"","198803","","456013","","Avery Gach","MICHIGAN","74","G","6","1","0","0","1","6"
"","198857","","455952","","Saquon Miles","MISS STATE","71","T","11","1","0","0","0","7"
"","198863","","451327","","Jakheem Shumpert-Perkins","MISS STATE","55","T","12","2","0","0","1","8"
"","198869","","455949","","Spencer Dowland","MISS STATE","65","T","9","1","0","0","0","9"
"","198875","","449169","","Henry Fenuku","MISSOURI","54","G","20","3","0","0","1","17"
"","198886","","0","","Jack Lange","MISSOURI","76","T","4","1","0","0","0","4"
"","198891","","461055","","Keiton Jones","MISSOURI","68","G","8","2","0","0","0","7"
"","198971","","450148","","Spike Sowells Jr.","NC STATE","72","G","199","6","1","5","0","71"
"","199036","","450090","","Ryan Fodje","OKLAHOMA","70","T","243","8","1","7","4","108"
"","199046","","453297","","Michael Fasusi","OKLAHOMA","56","T","415","7","2","8","1","180"
"","199089","","467637","","Akram Elnagmi","PITTSBURGH","60","T","2","1","0","0","0","2"
"","199094","","449526","","Giordano Vaccaro","PURDUE","62","C","1","1","0","0","0","1"
"","199130","","456076","","Chris Vigna","RUTGERS","67","G","23","1","0","0","0","12"
"","199161","","450193","","Dramodd Odoms","SMU","75","T","36","3","1","0","0","16"
"","199180","","450182","","Abel Hoopii","SMU","58","G","7","2","0","0","1","6"
"","199233","","455833","","Byron Washington","SYRACUSE","76","G","187","6","1","7","2","65"
"","199268","","449882","","Witten Van Hoy","TCU","50","T","22","2","0","0","0","16"
"","199294","","458931","","Nick Brooks","TEXAS","71","G","221","5","4","13","2","101"
"","199307","","450071","","Patrick McMath","TEXAS TECH","50","C","54","3","0","0","1","30"
"","199312","","450015","","Connor Carty","TEXAS TECH","61","G","35","3","0","2","2","20"
"","199381","","454012","","LaParka Langston","UCF","53","T","3","1","0","0","0","3"
"","199383","","454027","","Noah Senka","UCF","67","G","3","1","0","0","0","3"
"","199410","","0","","Alex Payne","USC","71","T","1","1","0","0","0","1"
"","199412","","0","","Willi Wascher","USC","52","C","1","1","0","0","0","1"
"","199419","","449483","","Aaron Dunn","USC","70","T","28","1","0","0","1","13"
"","199422","","449594","","Elijah Vaikona","USC","79","T","41","2","0","0","0","19"
"","199518","","449356","","John Mills","WASHINGTON","72","G","262","6","0","6","4","112"
"","199524","","453713","","Champ Taulealea","WASHINGTON","73","G","13","1","0","0","0","8"
"","199543","","451397","","Brandon Homady","W VIRGINIA","71","T","8","2","0","0","0","7"
"","199572","","453353","","Nolan Davenport","WISCONSIN","60","G","3","1","0","0","0","3"
"","199628","","448932","","Brayden Jacobs","CLEMSON","74","T","236","7","1","8","0","99"
"","199681","","453330","","Kevin Peay Jr.","GA TECH","51","G","4","1","0","0","0","2"
"","199683","","453332","","Josh Petty","GA TECH","69","T","17","5","0","1","0","10"
"","199687","","453325","","Peyton Joseph","GA TECH","71","T","4","1","0","0","0","2"
"","199754","","453339","","Carius Curne","LSU","57","T","143","4","1","3","2","47"
"","199794","","0","","Brian Tapu","NEBRASKA","63","T","1","1","0","0","0","0"
"","199795","","453536","","Shawn Hammerbeck","NEBRASKA","79","T","13","2","0","0","1","9"
"","199796","","453546","","Houston Ka'aha'aina-Torres","NEBRASKA","67","C","14","2","0","0","0","10"
"","199841","","458774","","Matty Augustine","NOTRE DAME","58","T","22","2","0","0","0","15"
"","199857","","453499","","Carter Lowe","OHIO STATE","74","T","15","1","0","0","1","13"
"","199860","","453488","","Jake Cook","OHIO STATE","76","G","17","3","0","0","0","15"
"","199861","","453500","","Jayvon McFadden","OHIO STATE","71","G","15","1","0","0","1","13"
"","199875","","449223","","Demetri Manning","OREGON","50","G","8","2","0","0","0","6"
"","199878","","449178","","Ziyare Addison","OREGON","58","T","8","2","0","0","0","6"
"","199881","","449247","","Douglas Utu","OREGON","55","G","9","3","0","0","0","7"
"","199901","","449105","","Owen Aliciene","PENN STATE","77","T","22","1","0","0","0","11"
"","199949","","453956","","Shedrick Sarratt Jr.","S CAROLINA","72","G","297","7","0","5","1","122"
"","199958","","453911","","Damola Ajidahun","S CAROLINA","55","T","40","4","1","2","1","15"
"","199963","","453405","","Nic Moore","TENNESSEE","58","C","15","1","0","0","0","8"
"","199964","","461041","","David Sanders Jr.","TENNESSEE","70","T","216","5","2","4","1","86"
"","199970","","453406","","Antoni Ogumoro","TENNESSEE","55","G","66","2","0","0","1","33"
"","200080","","450659","","LJ Prudhomme","ARKANSAS","56","G","11","1","0","0","1","5"
"","200099","","450606","","Kash Courtney","ARKANSAS","53","C","103","3","0","5","2","50"
"","200100","","450585","","Blake Cherry","ARKANSAS","70","G","22","2","0","0","0","10"
"","200111","","456259","","Matthew Parker","BAYLOR","71","T","18","2","0","0","0","11"
"","200114","","456233","","Harrison Cluff","BAYLOR","75","G","18","2","0","0","0","11"
"","200145","","455982","","Darrin Strey","KENTUCKY","69","T","2","1","0","0","0","2"
"","200151","","453535","","Seuseu Alofaituli","MIAMI FL","65","G","63","6","1","0","3","43"
"","200170","","453538","","Max Buchanan","MIAMI FL","66","G","43","3","0","0","0","25"
"","200269","","455861","","Grayson Reid","VIRGINIA","51","G","10","1","0","0","1","9"
"","200275","","455862","","Will Rosen","VIRGINIA","67","G","3","1","0","0","0","3"
"","200277","","455858","","Jim Harris Jr.","VIRGINIA","55","T","3","1","0","0","0","3"
"","200280","","455853","","Jon Adair","VIRGINIA","79","T","36","2","0","0","1","20"
"","200289","","449459","","Lamont Rogers","TEXAS A&M","79","T","17","2","0","0","0","10"
"","200305","","449596","","Amory Hills","MARYLAND","77","G","106","8","0","0","1","51"
"","200315","","448828","","Zak Yamauchi","STANFORD","68","G","136","3","3","3","1","60"
"","200324","","466525","","Josh Williams","STANFORD","62","G","198","3","1","4","3","88"
"","200326","","448825","","Emeka Ugorji","STANFORD","71","G","465","8","3","11","11","198"
"","203967","","453471","","Kail Ellis","AUBURN","51","C","204","5","1","8","2","99"
"","203970","","453490","","Jacobe' Ward","AUBURN","74","G","8","1","0","0","0","5"
"","203993","","450526","","Siosiua Latu-Finau","BYU","59","T","38","1","0","0","0","31"
"","204010","","461009","","Cole Allen","DUKE","62","T","13","2","0","0","0","13"
"","204079","","449803","","Vaea Ikakoula","IOWA STATE","54","G","29","1","0","0","0","21"
"","204091","","449931","","Anderson Kopp","KANSAS","73","C","4","1","0","0","0","4"
"","204092","","449985","","Antonio Wilson","KANSAS","76","T","10","1","0","0","0","6"
"","204134","","449686","","Cameron Gorin","LOUISVILLE","75","T","27","1","0","0","0","15"
"","204143","","456017","","Ty Haywood","MICHIGAN","79","T","6","1","0","0","0","6"
"","204236","","453260","","Zac Stascausky","OREGON","57","T","4","1","0","0","0","2"
"","204262","","467635","","Torian Chester","PITTSBURGH","68","C","7","1","0","0","2","6"
"","204331","","449489","","Tyler Thomas","TEXAS A&M","77","G","17","2","0","0","0","10"
"","204352","","450020","","Elias Gillen","TEXAS TECH","77","T","10","1","0","0","0","5"
"","204355","","450026","","Danilo Guberinich","TEXAS TECH","73","G","9","1","0","0","0","4"
"","204377","","417779","","Owen Spell","UCF","61","T","177","4","0","4","0","77"
